Currency,Date,Open,High,Low,Close,Volume,Market Cap
tezos,"Dec 04, 2019",1.29,1.32,1.25,1.25,46048752,824588509
tezos,"Dec 03, 2019",1.24,1.32,1.21,1.29,41462224,853213342
tezos,"Dec 02, 2019",1.25,1.26,1.2,1.24,27574097,817872179
tezos,"Dec 01, 2019",1.33,1.34,1.25,1.25,24127567,828296390
tezos,"Nov 30, 2019",1.31,1.37,1.31,1.33,28706667,879181680
tezos,"Nov 29, 2019",1.28,1.34,1.28,1.31,32270224,867085098
tezos,"Nov 28, 2019",1.26,1.35,1.22,1.28,44240281,845073679
tezos,"Nov 27, 2019",1.24,1.27,1.16,1.26,47723271,829672736
tezos,"Nov 26, 2019",1.24,1.28,1.23,1.24,54828808,822065277
tezos,"Nov 25, 2019",1.33,1.33,1.21,1.24,64954006,815688075
tezos,"Nov 24, 2019",1.4,1.42,1.31,1.34,49206070,887731654
tezos,"Nov 23, 2019",1.22,1.42,1.22,1.39,123832790,920735790
tezos,"Nov 22, 2019",1.21,1.28,1.08,1.22,69312275,804427044
tezos,"Nov 21, 2019",1.21,1.29,1.18,1.21,53020027,800257863
tezos,"Nov 20, 2019",1.22,1.25,1.17,1.21,33605071,801174969
tezos,"Nov 19, 2019",1.23,1.25,1.15,1.22,35796763,805231584
tezos,"Nov 18, 2019",1.16,1.26,1.16,1.23,37602915,813744878
tezos,"Nov 17, 2019",1.16,1.18,1.15,1.16,22483167,767707353
tezos,"Nov 16, 2019",1.17,1.18,1.16,1.16,26689028,768303560
tezos,"Nov 15, 2019",1.22,1.26,1.15,1.17,32203363,773992543
tezos,"Nov 14, 2019",1.13,1.3,1.11,1.22,41978349,808582829
tezos,"Nov 13, 2019",1.17,1.17,1.12,1.13,23410839,746750215
tezos,"Nov 12, 2019",1.18,1.2,1.15,1.17,23591140,771905281
tezos,"Nov 11, 2019",1.23,1.24,1.17,1.18,25012739,776358941
tezos,"Nov 10, 2019",1.25,1.25,1.19,1.23,31134799,812505004
tezos,"Nov 09, 2019",1.17,1.26,1.15,1.24,34760712,819630519
tezos,"Nov 08, 2019",1.22,1.28,1.12,1.17,44195683,770094896
tezos,"Nov 07, 2019",1.02,1.44,1.02,1.22,92805360,805246128
tezos,"Nov 06, 2019",0.927547,1.05,0.902417,1.02,26095931,673756212
tezos,"Nov 05, 2019",0.891802,0.929289,0.877752,0.927137,13420498,612256490
tezos,"Nov 04, 2019",0.868023,0.907127,0.8646,0.891802,16511023,588922638
tezos,"Nov 03, 2019",0.865785,0.874167,0.848911,0.868879,11444717,573784519
tezos,"Nov 02, 2019",0.878443,0.886302,0.857435,0.865528,9944483,571571532
tezos,"Nov 01, 2019",0.889461,0.891029,0.863507,0.877941,12684201,579768933
tezos,"Oct 31, 2019",0.914068,0.924062,0.873981,0.890512,13120625,588070905
tezos,"Oct 30, 2019",0.878168,0.969414,0.774601,0.914079,23084998,603633344
tezos,"Oct 29, 2019",0.871995,0.917937,0.82545,0.878892,19713852,580397277
tezos,"Oct 28, 2019",0.879748,0.928777,0.768318,0.875315,24337121,578034790
tezos,"Oct 27, 2019",0.836378,0.890216,0.688631,0.875154,23186370,577928349
tezos,"Oct 26, 2019",0.833823,0.92603,0.818766,0.831994,20293463,549426804
tezos,"Oct 25, 2019",0.767532,0.842798,0.762231,0.834757,16862309,551251771
tezos,"Oct 24, 2019",0.761316,0.780364,0.754028,0.768243,14425427,507327662
tezos,"Oct 23, 2019",0.838904,0.839336,0.755143,0.761316,14131553,502752829
tezos,"Oct 22, 2019",0.870816,0.879914,0.833186,0.838575,11567380,553772790
tezos,"Oct 21, 2019",0.877297,0.889119,0.866837,0.871432,11434852,575470528
tezos,"Oct 20, 2019",0.86545,0.884321,0.861892,0.877438,9297806,579437174
tezos,"Oct 19, 2019",0.879461,0.890271,0.861758,0.865266,10127092,571399102
tezos,"Oct 18, 2019",0.895843,0.898314,0.869977,0.877796,10666948,579673087
tezos,"Oct 17, 2019",0.876521,0.899669,0.872991,0.895843,11185558,591591209
tezos,"Oct 16, 2019",0.909666,0.913004,0.861378,0.876968,12766002,579126752
tezos,"Oct 15, 2019",0.939501,0.961195,0.902323,0.907378,17300340,599208238
tezos,"Oct 14, 2019",0.903695,0.942667,0.897807,0.941266,16242661,621587341
tezos,"Oct 13, 2019",0.893087,0.967,0.88628,0.903695,19773441,596776442
tezos,"Oct 12, 2019",0.911203,0.921544,0.850423,0.8931,19332567,589779872
tezos,"Oct 11, 2019",0.913683,0.920685,0.885656,0.914116,18114188,603658112
tezos,"Oct 10, 2019",0.942845,0.944412,0.913233,0.915035,24538307,604264912
tezos,"Oct 09, 2019",0.899704,0.957093,0.894856,0.942926,16465901,622683648
tezos,"Oct 08, 2019",0.906241,0.915839,0.895083,0.899704,18299070,594140600
tezos,"Oct 07, 2019",0.87599,0.924249,0.867754,0.906686,16375621,598751227
tezos,"Oct 06, 2019",0.912324,0.91377,0.872431,0.876948,12691818,579113086
tezos,"Oct 05, 2019",0.923275,0.924122,0.902212,0.912535,13070972,602614044
tezos,"Oct 04, 2019",0.934931,0.93567,0.901729,0.923275,14953450,609706365
tezos,"Oct 03, 2019",0.943783,0.965669,0.917273,0.935255,11184781,617617831
tezos,"Oct 02, 2019",0.953811,0.953811,0.893671,0.943158,17174252,622836475
tezos,"Oct 01, 2019",0.90424,0.997532,0.898776,0.953637,13349266,629756396
tezos,"Sep 30, 2019",0.888097,0.91842,0.853907,0.903533,15800572,596669068
tezos,"Sep 29, 2019",0.893418,0.916808,0.869514,0.887902,11871749,586346796
tezos,"Sep 28, 2019",0.895378,0.916559,0.868757,0.893673,9062006,590158131
tezos,"Sep 27, 2019",0.850902,0.899908,0.824431,0.895409,17459138,591304774
tezos,"Sep 26, 2019",0.854433,0.913537,0.821401,0.851353,12848761,562210845
tezos,"Sep 25, 2019",0.889105,0.909275,0.818959,0.854977,24468658,564604498
tezos,"Sep 24, 2019",1.05,1.09,0.852477,0.892636,25188778,589473410
tezos,"Sep 23, 2019",1.05,1.14,1.02,1.05,18341225,696104355
tezos,"Sep 22, 2019",1.07,1.08,1.05,1.06,8594941,696868198
tezos,"Sep 21, 2019",1.06,1.08,1.06,1.07,13990523,708171839
tezos,"Sep 20, 2019",1.1,1.11,1.05,1.06,14160437,701240151
tezos,"Sep 19, 2019",1.09,1.12,1.03,1.1,12359739,727542370
tezos,"Sep 18, 2019",1.09,1.15,1.09,1.09,11962787,720294110
tezos,"Sep 17, 2019",1,1.1,0.997298,1.1,10580481,723533677
tezos,"Sep 16, 2019",1,1.01,0.985511,1,7211469,662162197
tezos,"Sep 15, 2019",1,1.02,0.988586,1,9925484,662384863
tezos,"Sep 14, 2019",0.977167,1.01,0.961925,1,8114227,661750058
tezos,"Sep 13, 2019",1.01,1.02,0.957123,0.975547,9376392,644225711
tezos,"Sep 12, 2019",1.01,1.02,0.993832,1.01,9235470,666508432
tezos,"Sep 11, 2019",1.02,1.03,0.994984,1.01,8953230,664542321
tezos,"Sep 10, 2019",1.04,1.04,1.02,1.02,9247187,675748704
tezos,"Sep 09, 2019",1.06,1.11,1.03,1.04,11308139,687583237
tezos,"Sep 08, 2019",1.03,1.08,1.02,1.07,10251627,703564280
tezos,"Sep 07, 2019",0.998955,1.04,0.977403,1.03,13451858,679683395
tezos,"Sep 06, 2019",1.01,1.03,0.993146,1,11010600,660508589
tezos,"Sep 05, 2019",1.03,1.04,1,1.01,9221482,669826900
tezos,"Sep 04, 2019",1.04,1.04,1.02,1.03,8758988,682146976
tezos,"Sep 03, 2019",1.06,1.07,1.03,1.04,11137913,688841250
tezos,"Sep 02, 2019",1.03,1.08,1.03,1.06,9758386,697810467
tezos,"Sep 01, 2019",1.05,1.06,1.01,1.03,8250825,681637980
tezos,"Aug 31, 2019",1.07,1.08,1.01,1.04,10847063,687684125
tezos,"Aug 30, 2019",0.998172,1.07,0.991567,1.06,10015534,703253249
tezos,"Aug 29, 2019",1.05,1.07,0.996188,0.998172,14710732,659166382
tezos,"Aug 28, 2019",1.13,1.13,1.04,1.05,9878622,693879132
tezos,"Aug 27, 2019",1.16,1.17,1.12,1.13,8137996,745097752
tezos,"Aug 26, 2019",1.14,1.18,1.13,1.16,8943795,765358762
tezos,"Aug 25, 2019",1.15,1.16,1.13,1.14,7996369,754098350
tezos,"Aug 24, 2019",1.17,1.18,1.12,1.15,9414392,758721110
tezos,"Aug 23, 2019",1.14,1.2,1.13,1.17,9906828,772431594
tezos,"Aug 22, 2019",1.12,1.15,1.1,1.14,8824747,752276973
tezos,"Aug 21, 2019",1.16,1.16,1.1,1.12,11809364,738442909
tezos,"Aug 20, 2019",1.21,1.22,1.16,1.16,6759399,766459768
tezos,"Aug 19, 2019",1.2,1.24,1.2,1.21,7024532,801513726
tezos,"Aug 18, 2019",1.19,1.24,1.18,1.2,5300851,794345202
tezos,"Aug 17, 2019",1.22,1.22,1.17,1.19,4859686,787218715
tezos,"Aug 16, 2019",1.22,1.23,1.14,1.22,8512652,805043456
tezos,"Aug 15, 2019",1.16,1.25,1.05,1.22,13913968,807752353
tezos,"Aug 14, 2019",1.26,1.28,1.15,1.16,10844927,769123801
tezos,"Aug 13, 2019",1.36,1.37,1.26,1.26,10432675,829436539
tezos,"Aug 12, 2019",1.38,1.39,1.36,1.36,8575614,899603980
tezos,"Aug 11, 2019",1.39,1.41,1.37,1.38,8402166,908558771
tezos,"Aug 10, 2019",1.43,1.44,1.36,1.39,11888934,919898719
tezos,"Aug 09, 2019",1.55,1.56,1.37,1.43,23985476,946513275
tezos,"Aug 08, 2019",1.35,1.73,1.34,1.55,36246315,1023902326
